YEAR,CMTE_ID,TOTAL_TRANSACTIONS,CMTE_NAME
2006,C00331827,10000,NORTHERN LIGHTS POLITICAL ACTION COMMITTEE
2006,C00326082,10000,FUND FOR A CONSERVATIVE FUTURE
2006,C00335133,10000,ALLIANCE FOR THE WEST
2006,C00325993,10000,DEFEND AMERICA PAC
2006,C00335448,10000,SOLUTIONS AMERICA PAC
2006,C00325035,10000,FRIENDS OF THE BIG SKY
2006,C00317479,10000,GOOD GOVERNMENT FOR AMERICA COMMITTEE
2006,C00108282,10000,DARDEN RESTAURANTS INC EMPLOYEES GOOD GOVERNMENT FUND (FKA GENERAL MILLS REST INC...FUND)
2006,C00108035,10000,MCKESSON CORPORATION EMPLOYEES POLITICAL FUND
2006,C00107235,10000,PRICEWATERHOUSECOOPERS POLITICAL ACTION COMMITTEE I
2006,C00354308,10000,IMPACT AMERICA
2006,C00104802,10000,NORTHWEST AIRLINES POLITICAL ACTION COMMITTEE
2006,C00344333,10000,"RESTORE AMERICA PAC, INC."
2006,C00306449,10000,AMERICAN ACADEMY OF OTOLARYNGOLOGY - HEAD AND NECK SURGER
2006,C00345629,10000,SANDHILLS POLITICAL ACTION COMMITTEE
2006,C00101485,10000,ECOLAB INC. POLITICAL ACTION COMMITTEE
2006,C00101105,10000,NATIONAL FEDERATION OF INDEPENDENT BUSINESS/ SAVE AMERICAS FREE ENTERPRISE TRUST
2006,C00305805,10000,FREEDOM PROJECT; THE
2006,C00305797,10000,AMERICA'S FOUNDATION
2006,C00040279,10000,ABBOTT LABORATORIES EMPLOYEE POLITICAL ACTION COMMITTEE
2006,C00148031,10000,CATERPILLAR EMPLOYEES POLITICAL ACTION COMMITTEE
2006,C00300483,10000,NEW REPUBLICAN MAJORITY FUND
2006,C00093054,10000,WAL-MART STORES INC. PAC FOR RESPONSIBLE GOVERNMENT
2006,C00186288,10000,VERIZON COMMUNICATION INC GOOD GOVT CLUB
2006,C00328401,10000,"LINCOLN CLUB OF ORANGE COUNTY FEDERAL PAC, THE"
2006,C00387134,10000,DANIEL WEBSTER PAC
2006,C00032698,10000,INDEPENDENT COMMUNITY BANKERS OF AMERICA POLITICAL ACTION COMMITTEE
2006,C00218263,10000,TCF PAC
2006,C00004275,10000,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC)
2006,C00012914,10000,TITLE INDUSTRY POLITICAL ACTION COMMITTEE
2006,C00034132,10000,FLUOR CORPORATION POLITICAL ACTION COMMITTEE (FLUOR PAC)
2006,C00003764,10000,NATIONAL RESTAURANT ASSOCIATION PAC
2006,C00016683,10000,PFIZER INC. PAC
2006,C00390674,10000,FREEDOM FUND
2006,C00250399,10000,AUTOMOTIVE FREE INTERNATIONAL TRADE PAC
2006,C00202861,10000,"SENATE VICTORY FUND PAC, THE"
