CYCLE,CMTE_ID,AMNDT_IND,REPORT_TYPE,TRANSACTION_PGI,IMAGE_NUM,TRANSACTION_TYPE,ENTITY_TYPE,NAME,CITY,STATE,ZIP,EMPLOYER,OCCUPATION,TRANSACTION_DATE,TRANSACTION_AMOUNT,OTHER_ID,TRANSACTION_ID,FILE_NUM,MEMO_CODE,MEMO_TEXT,SUB_ID
2000,C00194746,A,30G,P,20990256641.0,24K,,Kennedy for Congress,Watertown,MN,55388.0,,,11092000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012243025
2000,C00255406,A,30G,G,20036553494.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11092000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010592697
2000,C00301366,A,30G,,20990261402.0,15Z,,Mark Kennedy for Congress  (MN/H02,Watertown,MN,55388.0,Information Requested,,10272000.0,1000,C00347203,,,,,3061920110008256231
2000,C00024281,A,12G,G,20036702356.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10052000.0,2500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011181396
2000,C00301366,A,M10,G,21037104296.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9112000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010046681
2000,C00301366,A,M10,P,20036301896.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9112000.0,2500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009903410
2000,C00032698,A,YE,G,21036790099.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,12212000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010073896
2000,C00250399,A,YE,G,21990024584.0,24K,,Kennedy for Congress,Watertown,MN,55388.0,,,12182000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010183498
2000,C00144766,A,YE,G,21990021203.0,24K,,Kennedy For Congress,Watertown,MN,55388.0,,,11292000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010459520
2000,C00144766,A,YE,G,21990021203.0,24K,,Kennedy For Congress,Watertown,MN,55388.0,,,11292000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010466620
2000,C00003764,A,YE,G,21036824680.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,12192000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010206400
2000,C00128231,A,YE,P,21990028809.0,24K,,"Kennedy, Mark R. Representative",Watertown,MN,55388.0,,,12072000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011350485
2000,C00301366,A,12G,G,20990237879.0,24K,,Mark Kennedy for Congress  (MN/H02,Watertown,MN,55388.0,,,10132000.0,3500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010169465
2000,C00201509,A,Q3,G,20036174711.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,7192000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012462146
2000,C00340158,A,30G,G,20036543162.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11012000.0,1500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012618365
2000,C00300921,A,30G,G,20036533279.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10312000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012443022
2000,C00093963,A,Q3,G,20036140605.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9202000.0,2000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010403810
2000,C00356840,A,M8,G,20035963316.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,7272000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012551317
2000,C00084475,A,12G,G,20036331104.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10032000.0,750,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012142243
2000,C00004275,A,YE,G,21990017706.0,24K,,Kennedy for Congress,Watertown,MN,55388.0,,,12192000.0,2500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011077032
2000,C00292946,A,M10,G,20036294882.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9262000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012443656
2000,C00330464,A,M10,G,20990225303.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9242000.0,2000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012577102
2000,C00315275,A,30G,G,21036740811.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11022000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011263453
2000,C00341768,A,30G,G,20036681241.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11032000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010317876
2000,C00314641,A,Q3,G,20990220143.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9052000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011533136
2000,C00307405,A,30G,G,20036574988.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10302000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009918636
2000,C00325357,A,12G,G,20036330033.0,24Z,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10062000.0,3500,C00347203,,,,IN-KIND CONTRIB MADE TO REG. FILER,3062020110011654864
2000,C00325357,A,M10,G,20036104937.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9262000.0,440,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011704495
2000,C00236372,A,YE,G,21036780297.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11292000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010613644
2000,C00218263,N,30G,G,20036623681.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10302000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012235230
2000,C00305805,N,30G,G,20036641196.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10252000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011413736
2000,C00010470,N,30G,G,20036522618.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11132000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010631899
2000,C00040329,N,30G,G,20036530604.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11032000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012304699
2000,C00307405,A,M7,P,20035873392.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,6282000.0,3500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009815952
2000,C00009704,N,30G,G,20036620943.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11272000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011945590
2000,C00053553,A,12G,P,20036392943.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10162000.0,4950,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009770563
2000,C00346536,N,30G,G,20036552874.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10262000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010105003
2000,C00218263,N,Q2,P,20035831821.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,4042000.0,200,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012360993
2000,C00286583,N,Q2,P,20035863413.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,6212000.0,3000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012547114
2000,C00340810,N,12P,P,20035962833.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,7262000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012514169
2000,C00255406,N,M9,P,20036032001.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,8212000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010646383
2000,C00360362,N,Q3,P,20036124541.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,8212000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009817116
2000,C00330068,N,M9,P,20036032656.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,8292000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011717276
2000,C00292946,A,M4,P,20035531111.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,3202000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012384378
2000,C00018028,N,M10,G,20990224467.0,24K,,"Kennedy, Mark Mr.",Watertown,MN,55388.0,,,9292000.0,2500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010924381
2000,C00082917,N,M9,G,20036033775.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,8162000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011754120
2000,C00067884,N,Q3,P,20990224636.0,24K,,Kennedy For Congress,Watertown,MN,55388.0,,,9072000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011440656
2000,C00218263,N,12P,P,20036004657.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,8232000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012249902
2000,C00010421,N,M7,G,20035881695.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,6152000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012502983
2000,C00325373,N,Q2,G,20035881919.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,6232000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010161150
2000,C00114025,N,Q3,G,20036121125.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,8042000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012046649
2000,C00042960,N,Q3,G,20036093890.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9272000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010869997
2000,C00042002,N,M10,G,20036093020.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9122000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010167562
2000,C00087791,N,M10,G,20990215502.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9182000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010542675
2000,C00330068,A,30G,G,20036544362.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11032000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011758852
2000,C00099754,N,12G,G,20036320444.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10182000.0,100,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012282182
2000,C00339473,N,30G,G,20036720838.0,24Z,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10272000.0,750,C00347203,,,,IN-KIND CONTRIB MADE TO REG. FILER,3062020110012012646
2000,C00339473,N,30G,G,20036720838.0,24Z,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10272000.0,500,C00347203,,,,IN-KIND CONTRIB MADE TO REG. FILER,3062020110012026649
2000,C00363515,N,30G,G,21036734465.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11032000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010699404
2000,C00121319,N,YE,G,21036740768.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,12182000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010823125
2000,C00339473,N,Q2,P,20036284979.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,5282000.0,250,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012186440
2000,C00098061,N,YE,G,21036772774.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,12152000.0,2500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011005188
2000,C00227546,N,YE,G,21036802885.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,12142000.0,2000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010431450
2000,C00107615,N,12G,G,20036332945.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10062000.0,501,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009804604
2000,C00104851,N,YE,G,21990022168.0,24K,,Kennedy for Congress,Watertown,MN,55388.0,,,12042000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010281934
2000,C00122101,A,Q3,P,20036092872.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,7172000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011596835
2000,C00103937,N,YE,G,21036804609.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11302000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010245008
2000,C00084475,A,M4,G,20035513335.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,3312000.0,750,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012044658
2000,C00121368,N,M10,G,20036264805.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9282000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010933417
2000,C00101105,N,M10,G,20036313082.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9212000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009898286
2000,C00018945,N,YE,G,21036794347.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,12152000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010559246
2000,C00255406,N,M10,G,20036260856.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,9272000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010600352
2000,C00305805,A,M9,P,20036031953.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,8112000.0,5000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011455338
2000,C00106146,N,YE,G,21036840479.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,12142000.0,2000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012088012
2000,C00033944,N,12G,G,20036341151.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10052000.0,500,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011592352
2000,C00101105,N,YE,G,21990026897.0,24K,,"Kennedy, Mark",Watertown,MN,53888.0,,,12142000.0,2000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010142770
2000,C00184028,N,YE,P,21990017738.0,24K,,Kennedy for Congress,Watertown,MN,55388.0,,,12212000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110012743459
2000,C00067884,N,YE,G,21990021222.0,24K,,Kennedy For Congress,Watertown,MN,55388.0,,,12192000.0,3000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110011485629
2000,C00301366,A,M9,P,20036033674.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,8222000.0,1000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009758458
2000,C00301366,A,M7,P,20035870755.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,6282000.0,2000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009932100
2000,C00087874,N,YE,G,21036764840.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,12182000.0,2000,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010746538
2000,C00042424,N,30G,G,21036742947.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,11172000.0,250,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009814272
2000,C00042424,N,30G,G,21036742946.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,10252000.0,250,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110009834107
2000,C00053553,A,M9,G,20036043874.0,24K,,KENNEDY FOR CONGRESS,WATERTOWN,MN,55388.0,,,8232000.0,4950,C00347203,,,,CONTRIBUTION MADE TO NON-AFFILIATED,3062020110010143694
